series,ts,temp_injected,is_injected_anomaly,injection_type,sim_time_received
Out,2018-08-02 06:43:00,35.0,False,nan,430560.0
Out,2018-08-02 06:43:00,32.0,False,nan,430560.0
Out,2018-08-02 06:43:00,32.0,False,nan,430560.0
Out,2018-08-02 06:43:00,32.0,False,nan,430560.0
Out,2018-08-02 06:43:00,31.0,False,nan,430560.0
Out,2018-08-02 06:43:00,32.0,False,nan,430560.0
Out,2018-08-02 06:43:00,32.0,False,nan,430560.0
Out,2018-08-02 06:43:00,32.0,False,nan,430560.0
Out,2018-08-02 06:43:00,32.0,False,nan,430560.0
Out,2018-08-02 06:43:00,32.0,False,nan,430560.0
Out,2018-08-02 06:43:00,33.0,False,nan,430560.0
Out,2018-08-02 06:43:00,32.0,False,nan,430560.0
Out,2018-08-02 06:45:00,32.0,False,nan,430680.0
Out,2018-08-10 08:00:00,31.0,False,nan,1126380.0
Out,2018-08-10 08:00:00,30.0,False,nan,1126380.0
Out,2018-08-10 08:03:00,32.0,False,nan,1126560.0
Out,2018-08-10 08:03:00,31.0,False,nan,1126560.0
Out,2018-08-10 08:05:00,31.0,False,nan,1126680.0
Out,2018-08-10 08:05:00,31.0,False,nan,1126680.0
Out,2018-08-10 08:05:00,31.0,False,nan,1126680.0
Out,2018-08-10 08:05:00,31.0,False,nan,1126680.0
Out,2018-08-10 08:05:00,31.0,False,nan,1126680.0
Out,2018-08-10 08:05:00,31.0,False,nan,1126680.0
Out,2018-08-10 08:05:00,31.0,False,nan,1126680.0
Out,2018-08-10 08:06:00,30.0,False,nan,1126740.0
Out,2018-08-10 08:06:00,31.0,False,nan,1126740.0
Out,2018-08-10 08:06:00,31.0,False,nan,1126740.0
Out,2018-08-10 08:06:00,31.0,False,nan,1126740.0
Out,2018-08-10 08:06:00,31.0,False,nan,1126740.0
Out,2018-08-10 08:06:00,31.0,False,nan,1126740.0
Out,2018-08-10 08:06:00,31.0,False,nan,1126740.0
Out,2018-08-10 08:06:00,31.0,False,nan,1126740.0
Out,2018-08-10 08:06:00,31.0,False,nan,1126740.0
Out,2018-08-10 08:06:00,31.0,False,nan,1126740.0
Out,2018-08-10 08:11:00,31.0,False,nan,1127040.0
Out,2018-08-10 08:11:00,30.0,False,nan,1127040.0
Out,2018-08-10 08:12:00,30.0,False,nan,1127100.0
Out,2018-08-10 08:12:00,31.0,False,nan,1127100.0
Out,2018-08-10 08:13:00,30.0,False,nan,1127160.0
Out,2018-08-10 08:13:00,31.0,False,nan,1127160.0
Out,2018-08-10 08:13:00,32.0,False,nan,1127160.0
Out,2018-08-10 08:13:00,31.0,False,nan,1127160.0
Out,2018-08-10 08:16:00,31.0,False,nan,1127340.0
Out,2018-08-10 08:16:00,32.0,False,nan,1127340.0
Out,2018-08-10 08:17:00,32.0,False,nan,1127400.0
Out,2018-08-10 08:17:00,31.0,False,nan,1127400.0
Out,2018-08-10 08:17:00,31.0,False,nan,1127400.0
Out,2018-08-10 08:17:00,31.0,False,nan,1127400.0
Out,2018-08-10 08:17:00,31.0,False,nan,1127400.0
Out,2018-08-10 08:17:00,31.0,False,nan,1127400.0
Out,2018-08-10 08:17:00,31.0,False,nan,1127400.0
Out,2018-08-10 08:17:00,31.0,False,nan,1127400.0
Out,2018-08-10 08:19:00,30.0,False,nan,1127520.0
Out,2018-08-10 08:19:00,31.0,False,nan,1127520.0
Out,2018-08-10 08:22:00,31.0,False,nan,1127700.0
Out,2018-08-10 08:22:00,32.0,False,nan,1127700.0
Out,2018-08-10 08:23:00,32.0,False,nan,1127760.0
Out,2018-08-10 08:23:00,31.0,False,nan,1127760.0
Out,2018-08-10 08:24:00,31.0,False,nan,1127820.0
Out,2018-08-10 08:24:00,32.0,False,nan,1127820.0
Out,2018-08-10 08:24:00,31.0,False,nan,1127820.0
Out,2018-08-10 08:24:00,32.0,False,nan,1127820.0
Out,2018-08-10 08:25:00,31.0,False,nan,1127880.0
Out,2018-08-10 08:25:00,32.0,False,nan,1127880.0
Out,2018-08-10 08:27:00,32.0,False,nan,1128000.0
